location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Austria,2021-03-26,70-79,18.96,4.01
Austria,2021-03-26,80+,71.75,42.0
Austria,2021-04-02,18-24,6.8,1.48
Austria,2021-04-02,25-49,11.01,3.28
Austria,2021-04-02,50-59,15.21,4.92
Austria,2021-04-02,60-69,14.99,4.2
Austria,2021-04-02,70-79,26.88,5.49
Austria,2021-04-02,80+,78.27,52.99
Austria,2021-04-09,18-24,7.12,2.19
Austria,2021-04-09,25-49,11.57,4.14
Austria,2021-04-09,50-59,16.32,6.08
Austria,2021-04-09,60-69,19.71,5.99
Austria,2021-04-09,70-79,40.37,9.02
Austria,2021-04-09,80+,84.01,62.24
Austria,2021-04-16,18-24,7.61,2.54
Austria,2021-04-16,25-49,12.67,4.64
Austria,2021-04-16,50-59,18.5,6.93
Austria,2021-04-16,60-69,27.64,7.59
Austria,2021-04-16,70-79,54.43,13.06
Austria,2021-04-16,80+,88.07,66.4
Austria,2021-04-23,18-24,8.48,2.69
Austria,2021-04-23,25-49,14.4,4.89
Austria,2021-04-23,50-59,22.24,7.32
Austria,2021-04-23,60-69,37.39,8.25
Austria,2021-04-23,70-79,63.65,15.41
Austria,2021-04-23,80+,90.02,70.65
Austria,2021-04-30,18-24,9.68,2.95
Austria,2021-04-30,25-49,16.29,5.2
Austria,2021-04-30,50-59,27.0,7.78
Austria,2021-04-30,60-69,48.84,9.31
Austria,2021-04-30,70-79,67.84,19.73
Austria,2021-04-30,80+,91.27,72.03
Austria,2021-05-07,18-24,11.64,3.53
Austria,2021-05-07,25-49,19.47,5.93
Austria,2021-05-07,50-59,34.08,8.78
Austria,2021-05-07,60-69,57.56,11.48
Austria,2021-05-07,70-79,71.39,26.27
Austria,2021-05-07,80+,92.76,74.12
Austria,2021-05-14,18-24,13.93,4.25
Austria,2021-05-14,25-49,22.94,6.86
Austria,2021-05-14,50-59,41.97,10.04
Austria,2021-05-14,60-69,63.97,13.71
Austria,2021-05-14,70-79,73.37,30.28
Austria,2021-05-14,80+,93.73,75.4
Austria,2021-05-21,18-24,16.72,5.33
Austria,2021-05-21,25-49,27.94,8.38
Austria,2021-05-21,50-59,49.07,12.29
Austria,2021-05-21,60-69,70.54,17.72
Austria,2021-05-21,70-79,75.34,36.13
Austria,2021-05-21,80+,94.81,79.43
Austria,2021-05-28,18-24,19.51,6.62
Austria,2021-05-28,25-49,32.16,10.63
Austria,2021-05-28,50-59,53.5,15.75
Austria,2021-05-28,60-69,73.7,23.17
Austria,2021-05-28,70-79,76.36,42.64
Austria,2021-05-28,80+,95.44,81.99
Austria,2021-06-04,18-24,23.84,8.18
Austria,2021-06-04,25-49,37.62,13.19
Austria,2021-06-04,50-59,58.59,19.89
Austria,2021-06-04,60-69,76.17,31.03
Austria,2021-06-04,70-79,77.3,49.52
Austria,2021-06-04,80+,96.05,83.47
Austria,2021-06-11,18-24,29.17,9.99
Austria,2021-06-11,25-49,42.76,16.43
Austria,2021-06-11,50-59,63.38,26.1
Austria,2021-06-11,60-69,77.65,41.94
Austria,2021-06-11,70-79,78.03,54.14
Austria,2021-06-11,80+,96.57,85.94
Austria,2021-06-18,18-24,33.88,12.29
Austria,2021-06-18,25-49,47.36,19.9
Austria,2021-06-18,50-59,66.24,32.83
Austria,2021-06-18,60-69,79.0,50.87
Austria,2021-06-18,70-79,78.76,58.62
Austria,2021-06-18,80+,97.11,88.11
Austria,2021-06-25,18-24,38.22,14.96
Austria,2021-06-25,25-49,51.27,24.22
Austria,2021-06-25,50-59,67.74,41.98
Austria,2021-06-25,60-69,79.92,57.83
Austria,2021-06-25,70-79,79.29,64.62
Austria,2021-06-25,80+,97.52,90.13
Austria,2021-07-02,18-24,42.9,19.59
Austria,2021-07-02,25-49,54.58,29.81
Austria,2021-07-02,50-59,69.19,49.16
Austria,2021-07-02,60-69,80.84,65.55
Austria,2021-07-02,70-79,79.87,71.19
Austria,2021-07-02,80+,97.95,91.63
Austria,2021-07-09,18-24,47.71,24.48
Austria,2021-07-09,25-49,56.86,35.56
Austria,2021-07-09,50-59,70.29,54.53
Austria,2021-07-09,60-69,81.63,70.19
Austria,2021-07-09,70-79,80.33,74.22
Austria,2021-07-09,80+,98.29,92.63
Austria,2021-07-16,18-24,50.06,29.23
Austria,2021-07-16,25-49,58.25,40.98
Austria,2021-07-16,50-59,71.24,59.21
Austria,2021-07-16,60-69,82.33,74.01
Austria,2021-07-16,70-79,80.78,75.75
Austria,2021-07-16,80+,98.64,93.44
Austria,2021-07-20,18-24,50.93,31.09
Austria,2021-07-20,25-49,58.77,42.91
Austria,2021-07-20,50-59,71.54,60.81
Austria,2021-07-20,60-69,82.58,74.96
Austria,2021-07-20,70-79,80.96,76.15
Austria,2021-07-20,80+,98.8,93.71
Belgium,2021-01-08,18-24,0.04,0.0
Belgium,2021-01-08,25-49,0.11,0.0
Belgium,2021-01-08,50-59,0.16,0.0
Belgium,2021-01-08,60-69,0.16,0.0
Belgium,2021-01-08,70-79,0.37,0.0
Belgium,2021-01-08,80+,2.29,0.0
Belgium,2021-01-15,18-24,0.23,0.0
Belgium,2021-01-15,25-49,0.52,0.0
Belgium,2021-01-15,50-59,0.74,0.0
Belgium,2021-01-15,60-69,0.71,0.0
Belgium,2021-01-15,70-79,1.57,0.0
Belgium,2021-01-15,80+,10.49,0.0
Belgium,2021-01-22,18-24,0.98,0.0
Belgium,2021-01-22,25-49,1.62,0.0
Belgium,2021-01-22,50-59,2.03,0.01
Belgium,2021-01-22,60-69,1.61,0.01
Belgium,2021-01-22,70-79,2.6,0.01
Belgium,2021-01-22,80+,15.12,0.07
Belgium,2021-01-29,18-24,1.52,0.04
Belgium,2021-01-29,25-49,2.36,0.11
Belgium,2021-01-29,50-59,2.87,0.15
Belgium,2021-01-29,60-69,2.15,0.16
Belgium,2021-01-29,70-79,3.02,0.35
Belgium,2021-01-29,80+,16.37,2.13
Belgium,2021-02-05,18-24,1.81,0.22
Belgium,2021-02-05,25-49,2.89,0.5
Belgium,2021-02-05,50-59,3.47,0.72
Belgium,2021-02-05,60-69,2.53,0.68
Belgium,2021-02-05,70-79,3.25,1.5
Belgium,2021-02-05,80+,17.02,9.93
Belgium,2021-02-12,18-24,2.0,0.91
Belgium,2021-02-12,25-49,3.29,1.48
Belgium,2021-02-12,50-59,3.98,1.9
Belgium,2021-02-12,60-69,2.83,1.54
Belgium,2021-02-12,70-79,3.39,2.5
Belgium,2021-02-12,80+,17.34,14.42
Belgium,2021-02-19,18-24,2.44,1.46
Belgium,2021-02-19,25-49,3.98,2.25
Belgium,2021-02-19,50-59,4.71,2.77
Belgium,2021-02-19,60-69,3.16,2.08
Belgium,2021-02-19,70-79,3.53,2.91
Belgium,2021-02-19,80+,17.48,15.67
Belgium,2021-02-26,18-24,3.15,1.7
Belgium,2021-02-26,25-49,5.34,2.67
Belgium,2021-02-26,50-59,6.11,3.24
Belgium,2021-02-26,60-69,3.63,2.39
Belgium,2021-02-26,70-79,3.69,3.13
Belgium,2021-02-26,80+,17.6,16.34
Belgium,2021-03-05,18-24,4.35,1.9
Belgium,2021-03-05,25-49,7.23,3.08
Belgium,2021-03-05,50-59,8.08,3.72
Belgium,2021-03-05,60-69,4.58,2.68
Belgium,2021-03-05,70-79,4.33,3.26
Belgium,2021-03-05,80+,18.71,16.64
Belgium,2021-03-12,18-24,5.45,2.29
Belgium,2021-03-12,25-49,8.78,3.69
Belgium,2021-03-12,50-59,9.76,4.43
Belgium,2021-03-12,60-69,6.25,3.08
Belgium,2021-03-12,70-79,5.99,3.41
Belgium,2021-03-12,80+,20.75,16.81
Belgium,2021-03-19,18-24,6.42,2.79
Belgium,2021-03-19,25-49,9.78,4.43
Belgium,2021-03-19,50-59,11.21,5.33
Belgium,2021-03-19,60-69,8.58,3.55
Belgium,2021-03-19,70-79,11.26,3.58
Belgium,2021-03-19,80+,33.93,16.97
Belgium,2021-03-26,18-24,6.96,3.29
Belgium,2021-03-26,25-49,10.42,5.11
Belgium,2021-03-26,50-59,12.1,6.26
Belgium,2021-03-26,60-69,10.41,4.24
Belgium,2021-03-26,70-79,18.49,4.07
Belgium,2021-03-26,80+,51.56,17.96
Belgium,2021-04-02,18-24,7.33,3.75
Belgium,2021-04-02,25-49,10.93,5.63
Belgium,2021-04-02,50-59,12.8,7.14
Belgium,2021-04-02,60-69,12.38,5.33
Belgium,2021-04-02,70-79,26.42,4.91
Belgium,2021-04-02,80+,73.64,18.97
Belgium,2021-04-09,18-24,7.66,4.01
Belgium,2021-04-09,25-49,11.36,5.96
Belgium,2021-04-09,50-59,13.62,7.58
Belgium,2021-04-09,60-69,17.35,5.96
Belgium,2021-04-09,70-79,52.37,6.27
Belgium,2021-04-09,80+,80.69,21.33
Belgium,2021-04-16,18-24,8.13,4.2
Belgium,2021-04-16,25-49,11.77,6.19
Belgium,2021-04-16,50-59,15.19,7.9
Belgium,2021-04-16,60-69,25.16,6.56
Belgium,2021-04-16,70-79,77.68,8.29
Belgium,2021-04-16,80+,83.11,28.87
Belgium,2021-04-23,18-24,8.67,4.32
Belgium,2021-04-23,25-49,12.37,6.35
Belgium,2021-04-23,50-59,18.87,8.08
Belgium,2021-04-23,60-69,40.5,6.91
Belgium,2021-04-23,70-79,88.11,9.16
Belgium,2021-04-23,80+,84.27,29.55
Belgium,2021-04-30,18-24,9.28,4.53
Belgium,2021-04-30,25-49,13.22,6.62
Belgium,2021-04-30,50-59,23.77,8.5
Belgium,2021-04-30,60-69,57.32,8.01
Belgium,2021-04-30,70-79,89.88,12.83
Belgium,2021-04-30,80+,85.33,32.61
Belgium,2021-05-07,18-24,9.91,4.84
Belgium,2021-05-07,25-49,15.54,7.09
Belgium,2021-05-07,50-59,32.67,9.39
Belgium,2021-05-07,60-69,75.09,10.24
Belgium,2021-05-07,70-79,91.33,20.19
Belgium,2021-05-07,80+,86.57,51.48
Belgium,2021-05-14,18-24,10.57,5.22
Belgium,2021-05-14,25-49,18.53,7.63
Belgium,2021-05-14,50-59,40.99,10.35
Belgium,2021-05-14,60-69,79.18,12.86
Belgium,2021-05-14,70-79,92.2,40.0
Belgium,2021-05-14,80+,87.25,56.57
Belgium,2021-05-21,18-24,11.21,6.26
Belgium,2021-05-21,25-49,22.7,9.18
Belgium,2021-05-21,50-59,56.44,12.92
Belgium,2021-05-21,60-69,82.02,19.1
Belgium,2021-05-21,70-79,92.84,52.29
Belgium,2021-05-21,80+,87.91,58.62
Belgium,2021-05-28,18-24,12.14,7.45
Belgium,2021-05-28,25-49,26.69,11.26
Belgium,2021-05-28,50-59,60.26,17.7
Belgium,2021-05-28,60-69,83.87,31.19
Belgium,2021-05-28,70-79,93.15,60.43
Belgium,2021-05-28,80+,88.26,60.05
Belgium,2021-06-04,18-24,14.22,8.58
Belgium,2021-06-04,25-49,32.74,13.63
Belgium,2021-06-04,50-59,71.45,23.11
Belgium,2021-06-04,60-69,88.94,46.16
Belgium,2021-06-04,70-79,93.58,62.81
Belgium,2021-06-04,80+,88.71,62.34
Belgium,2021-06-11,18-24,17.21,9.81
Belgium,2021-06-11,25-49,40.82,16.68
Belgium,2021-06-11,50-59,83.02,32.33
Belgium,2021-06-11,60-69,90.29,60.5
Belgium,2021-06-11,70-79,93.92,67.2
Belgium,2021-06-11,80+,89.04,73.19
Belgium,2021-06-18,18-24,24.09,10.94
Belgium,2021-06-18,25-49,56.13,20.72
Belgium,2021-06-18,50-59,85.53,38.91
Belgium,2021-06-18,60-69,90.84,64.6
Belgium,2021-06-18,70-79,94.2,70.46
Belgium,2021-06-18,80+,89.32,80.55
Belgium,2021-06-25,18-24,37.58,13.91
Belgium,2021-06-25,25-49,67.57,24.31
Belgium,2021-06-25,50-59,86.3,44.26
Belgium,2021-06-25,60-69,91.17,66.89
Belgium,2021-06-25,70-79,94.4,73.05
Belgium,2021-06-25,80+,89.52,84.17
Belgium,2021-07-02,18-24,51.44,16.12
Belgium,2021-07-02,25-49,73.87,27.92
Belgium,2021-07-02,50-59,86.77,48.19
Belgium,2021-07-02,60-69,91.42,70.54
Belgium,2021-07-02,70-79,94.56,77.25
Belgium,2021-07-02,80+,89.66,85.81
Belgium,2021-07-09,18-24,61.27,19.05
Belgium,2021-07-09,25-49,75.19,34.57
Belgium,2021-07-09,50-59,87.13,59.28
Belgium,2021-07-09,60-69,91.66,79.37
Belgium,2021-07-09,70-79,94.78,89.94
Belgium,2021-07-09,80+,89.84,86.84
Belgium,2021-07-16,18-24,67.28,22.76
Belgium,2021-07-16,25-49,76.2,42.26
Belgium,2021-07-16,50-59,87.56,72.94
Belgium,2021-07-16,60-69,91.98,83.77
Belgium,2021-07-16,70-79,95.06,92.45
Belgium,2021-07-16,80+,90.07,87.33
Belgium,2021-07-20,18-24,67.53,23.36
Belgium,2021-07-20,25-49,76.27,43.57
Belgium,2021-07-20,50-59,87.6,73.89
Belgium,2021-07-20,60-69,92.01,84.35
Belgium,2021-07-20,70-79,95.08,92.57
Belgium,2021-07-20,80+,90.1,87.4
Bulgaria,2021-01-08,18-24,0.04,0.0
Bulgaria,2021-01-08,25-49,0.18,0.0
Bulgaria,2021-01-08,50-59,0.46,0.0
Bulgaria,2021-01-08,60-69,0.39,0.0
Bulgaria,2021-01-08,70-79,0.12,0.0
Bulgaria,2021-01-08,80+,0.04,0.0
Bulgaria,2021-01-15,18-24,0.05,0.0
Bulgaria,2021-01-15,25-49,0.24,0.0
Bulgaria,2021-01-15,50-59,0.62,0.0
Bulgaria,2021-01-15,60-69,0.53,0.0
Bulgaria,2021-01-15,70-79,0.17,0.0
Bulgaria,2021-01-15,80+,0.06,0.0
Bulgaria,2021-01-22,18-24,0.06,0.01
Bulgaria,2021-01-22,25-49,0.29,0.06
Bulgaria,2021-01-22,50-59,0.72,0.17
Bulgaria,2021-01-22,60-69,0.63,0.13
Bulgaria,2021-01-22,70-79,0.2,0.04
Bulgaria,2021-01-22,80+,0.07,0.01
Bulgaria,2021-01-29,18-24,0.07,0.04
Bulgaria,2021-01-29,25-49,0.37,0.17
Bulgaria,2021-01-29,50-59,0.91,0.45
Bulgaria,2021-01-29,60-69,0.82,0.38
Bulgaria,2021-01-29,70-79,0.29,0.12
Bulgaria,2021-01-29,80+,0.12,0.04
Bulgaria,2021-02-05,18-24,0.1,0.05
Bulgaria,2021-02-05,25-49,0.51,0.23
Bulgaria,2021-02-05,50-59,1.29,0.59
Bulgaria,2021-02-05,60-69,1.13,0.51
Bulgaria,2021-02-05,70-79,0.42,0.16
Bulgaria,2021-02-05,80+,0.31,0.05
Bulgaria,2021-02-12,18-24,0.13,0.06
Bulgaria,2021-02-12,25-49,0.75,0.27
Bulgaria,2021-02-12,50-59,1.8,0.69
Bulgaria,2021-02-12,60-69,1.47,0.61
Bulgaria,2021-02-12,70-79,0.52,0.2
Bulgaria,2021-02-12,80+,0.41,0.06
Bulgaria,2021-02-19,18-24,0.32,0.07
Bulgaria,2021-02-19,25-49,1.37,0.35
Bulgaria,2021-02-19,50-59,2.88,0.88
Bulgaria,2021-02-19,60-69,2.29,0.79
Bulgaria,2021-02-19,70-79,0.95,0.28
Bulgaria,2021-02-19,80+,0.71,0.12
Bulgaria,2021-02-26,18-24,0.71,0.09
Bulgaria,2021-02-26,25-49,2.28,0.48
Bulgaria,2021-02-26,50-59,4.57,1.21
Bulgaria,2021-02-26,60-69,4.52,1.07
Bulgaria,2021-02-26,70-79,3.4,0.4
Bulgaria,2021-02-26,80+,2.07,0.28
Bulgaria,2021-03-05,18-24,0.96,0.11
Bulgaria,2021-03-05,25-49,2.86,0.66
Bulgaria,2021-03-05,50-59,5.73,1.66
Bulgaria,2021-03-05,60-69,6.38,1.4
Bulgaria,2021-03-05,70-79,5.64,0.5
Bulgaria,2021-03-05,80+,3.29,0.39
Bulgaria,2021-03-12,18-24,1.15,0.14
Bulgaria,2021-03-12,25-49,3.28,0.78
Bulgaria,2021-03-12,50-59,6.5,1.92
Bulgaria,2021-03-12,60-69,7.53,1.61
Bulgaria,2021-03-12,70-79,7.04,0.59
Bulgaria,2021-03-12,80+,4.14,0.45
Bulgaria,2021-03-19,18-24,1.26,0.2
Bulgaria,2021-03-19,25-49,3.56,0.96
Bulgaria,2021-03-19,50-59,6.92,2.25
Bulgaria,2021-03-19,60-69,7.9,1.95
Bulgaria,2021-03-19,70-79,7.31,0.82
Bulgaria,2021-03-19,80+,4.31,0.56
Bulgaria,2021-03-26,18-24,1.58,0.29
Bulgaria,2021-03-26,25-49,4.25,1.18
Bulgaria,2021-03-26,50-59,7.93,2.66
Bulgaria,2021-03-26,60-69,9.11,2.42
Bulgaria,2021-03-26,70-79,8.6,1.15
Bulgaria,2021-03-26,80+,5.08,0.69
Bulgaria,2021-04-02,18-24,1.94,0.36
Bulgaria,2021-04-02,25-49,5.0,1.37
Bulgaria,2021-04-02,50-59,9.0,2.97
Bulgaria,2021-04-02,60-69,10.38,2.71
Bulgaria,2021-04-02,70-79,10.0,1.38
Bulgaria,2021-04-02,80+,5.99,0.83
Bulgaria,2021-04-09,18-24,2.23,0.43
Bulgaria,2021-04-09,25-49,5.6,1.58
Bulgaria,2021-04-09,50-59,9.94,3.29
Bulgaria,2021-04-09,60-69,11.9,2.98
Bulgaria,2021-04-09,70-79,11.91,1.56
Bulgaria,2021-04-09,80+,7.24,0.93
Bulgaria,2021-04-16,18-24,2.48,0.52
Bulgaria,2021-04-16,25-49,6.16,1.83
Bulgaria,2021-04-16,50-59,10.8,3.68
Bulgaria,2021-04-16,60-69,13.25,3.31
Bulgaria,2021-04-16,70-79,13.56,1.78
Bulgaria,2021-04-16,80+,8.3,1.08
Bulgaria,2021-04-23,18-24,2.76,0.71
Bulgaria,2021-04-23,25-49,6.78,2.37
Bulgaria,2021-04-23,50-59,11.67,4.49
Bulgaria,2021-04-23,60-69,14.49,4.11
Bulgaria,2021-04-23,70-79,15.02,2.47
Bulgaria,2021-04-23,80+,9.21,1.5
Bulgaria,2021-04-30,18-24,3.14,0.95
Bulgaria,2021-04-30,25-49,7.43,3.02
Bulgaria,2021-04-30,50-59,12.56,5.54
Bulgaria,2021-04-30,60-69,15.68,5.43
Bulgaria,2021-04-30,70-79,16.33,3.93
Bulgaria,2021-04-30,80+,10.07,2.38
Bulgaria,2021-05-07,18-24,3.58,1.3
Bulgaria,2021-05-07,25-49,7.98,3.8
Bulgaria,2021-05-07,50-59,13.23,6.95
Bulgaria,2021-05-07,60-69,16.53,7.56
Bulgaria,2021-05-07,70-79,17.22,6.39
Bulgaria,2021-05-07,80+,10.62,3.8
Bulgaria,2021-05-14,18-24,4.04,1.83
Bulgaria,2021-05-14,25-49,8.69,5.07
Bulgaria,2021-05-14,50-59,14.19,9.14
Bulgaria,2021-05-14,60-69,17.87,10.89
Bulgaria,2021-05-14,70-79,18.85,10.57
Bulgaria,2021-05-14,80+,11.7,6.39
Bulgaria,2021-05-21,18-24,4.48,2.36
Bulgaria,2021-05-21,25-49,9.37,6.09
Bulgaria,2021-05-21,50-59,15.14,10.72
Bulgaria,2021-05-21,60-69,19.31,13.15
Bulgaria,2021-05-21,70-79,20.64,13.36
Bulgaria,2021-05-21,80+,12.92,8.1
Bulgaria,2021-05-28,18-24,4.82,2.88
Bulgaria,2021-05-28,25-49,9.86,6.86
Bulgaria,2021-05-28,50-59,15.83,11.73
Bulgaria,2021-05-28,60-69,20.35,14.42
Bulgaria,2021-05-28,70-79,21.89,14.71
Bulgaria,2021-05-28,80+,13.82,8.96
Bulgaria,2021-06-04,18-24,5.21,3.51
Bulgaria,2021-06-04,25-49,10.37,7.85
Bulgaria,2021-06-04,50-59,16.5,13.04
Bulgaria,2021-06-04,60-69,21.25,16.26
Bulgaria,2021-06-04,70-79,22.99,16.94
Bulgaria,2021-06-04,80+,14.6,10.37
Bulgaria,2021-06-11,18-24,5.62,4.13
Bulgaria,2021-06-11,25-49,10.88,8.86
Bulgaria,2021-06-11,50-59,17.16,14.42
Bulgaria,2021-06-11,60-69,22.12,18.23
Bulgaria,2021-06-11,70-79,24.01,19.39
Bulgaria,2021-06-11,80+,15.33,12.05
Bulgaria,2021-06-18,18-24,6.02,4.65
Bulgaria,2021-06-18,25-49,11.35,9.59
Bulgaria,2021-06-18,50-59,17.78,15.4
Bulgaria,2021-06-18,60-69,22.84,19.62
Bulgaria,2021-06-18,70-79,24.8,21.07
Bulgaria,2021-06-18,80+,15.88,13.24
Bulgaria,2021-06-25,18-24,6.35,5.12
Bulgaria,2021-06-25,25-49,11.75,10.18
Bulgaria,2021-06-25,50-59,18.34,16.16
Bulgaria,2021-06-25,60-69,23.5,20.65
Bulgaria,2021-06-25,70-79,25.53,22.28
Bulgaria,2021-06-25,80+,16.37,14.11
Bulgaria,2021-07-02,18-24,6.7,5.58
Bulgaria,2021-07-02,25-49,12.17,10.74
Bulgaria,2021-07-02,50-59,18.88,16.9
Bulgaria,2021-07-02,60-69,24.13,21.58
Bulgaria,2021-07-02,70-79,26.17,23.38
Bulgaria,2021-07-02,80+,16.79,14.87
Bulgaria,2021-07-09,18-24,7.15,6.01
Bulgaria,2021-07-09,25-49,12.66,11.25
Bulgaria,2021-07-09,50-59,19.54,17.56
Bulgaria,2021-07-09,60-69,24.84,22.37
Bulgaria,2021-07-09,70-79,26.88,24.25
Bulgaria,2021-07-09,80+,17.26,15.49
Bulgaria,2021-07-16,18-24,7.59,6.43
Bulgaria,2021-07-16,25-49,13.21,11.78
Bulgaria,2021-07-16,50-59,20.2,18.22
Bulgaria,2021-07-16,60-69,25.49,23.1
Bulgaria,2021-07-16,70-79,27.52,25.05
Bulgaria,2021-07-16,80+,17.67,16.0
Croatia,2021-01-01,18-24,0.0,0.0
Croatia,2021-01-01,25-49,0.03,0.0
Croatia,2021-01-01,50-59,0.04,0.0
Croatia,2021-01-01,60-69,0.03,0.0
Croatia,2021-01-01,70-79,0.09,0.0
Croatia,2021-01-01,80+,0.39,0.0
Croatia,2021-01-08,18-24,0.16,0.0
Croatia,2021-01-08,25-49,0.73,0.0
Croatia,2021-01-08,50-59,1.05,0.0
Croatia,2021-01-08,60-69,0.73,0.0
Croatia,2021-01-08,70-79,0.96,0.0
Croatia,2021-01-08,80+,3.22,0.0
Croatia,2021-01-15,18-24,0.27,0.0
Croatia,2021-01-15,25-49,1.19,0.0
Croatia,2021-01-15,50-59,1.79,0.0
Croatia,2021-01-15,60-69,1.26,0.0
Croatia,2021-01-15,70-79,1.51,0.02
Croatia,2021-01-15,80+,4.24,0.09
Croatia,2021-01-22,18-24,0.35,0.04
Croatia,2021-01-22,25-49,1.49,0.21
Croatia,2021-01-22,50-59,2.28,0.31
Croatia,2021-01-22,60-69,1.66,0.22
Croatia,2021-01-22,70-79,1.94,0.41
Croatia,2021-01-22,80+,5.02,1.72
Croatia,2021-01-29,18-24,0.36,0.12
Croatia,2021-01-29,25-49,1.52,0.59
Croatia,2021-01-29,50-59,2.33,0.88
Croatia,2021-01-29,60-69,1.71,0.61
Croatia,2021-01-29,70-79,2.01,0.79
Croatia,2021-01-29,80+,5.15,2.82
Croatia,2021-02-05,18-24,0.37,0.22
Croatia,2021-02-05,25-49,1.57,0.99
Croatia,2021-02-05,50-59,2.42,1.49
Croatia,2021-02-05,60-69,1.8,1.04
Croatia,2021-02-05,70-79,2.13,1.2
Croatia,2021-02-05,80+,5.29,3.67
Croatia,2021-02-12,18-24,0.42,0.31
Croatia,2021-02-12,25-49,1.76,1.37
Croatia,2021-02-12,50-59,2.78,2.09
Croatia,2021-02-12,60-69,2.36,1.51
Croatia,2021-02-12,70-79,3.03,1.68
Croatia,2021-02-12,80+,6.34,4.51
Croatia,2021-02-19,18-24,0.55,0.34
Croatia,2021-02-19,25-49,2.15,1.48
Croatia,2021-02-19,50-59,3.52,2.27
Croatia,2021-02-19,60-69,3.48,1.66
Croatia,2021-02-19,70-79,5.38,1.9
Croatia,2021-02-19,80+,11.28,4.85
Croatia,2021-02-26,18-24,0.65,0.35
Croatia,2021-02-26,25-49,2.48,1.52
Croatia,2021-02-26,50-59,4.22,2.33
Croatia,2021-02-26,60-69,5.22,1.74
Croatia,2021-02-26,70-79,10.43,2.01
Croatia,2021-02-26,80+,21.41,4.99
Croatia,2021-03-05,18-24,0.72,0.37
Croatia,2021-03-05,25-49,2.73,1.6
Croatia,2021-03-05,50-59,4.83,2.46
Croatia,2021-03-05,60-69,7.07,1.88
Croatia,2021-03-05,70-79,16.22,2.2
Croatia,2021-03-05,80+,27.52,5.3
Croatia,2021-03-12,18-24,0.93,0.44
