date,total_vaccinations,people_fully_vaccinated,people_vaccinated,vaccine,location,source_url,total_boosters
2021-05-06,2473529,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-07,2554531,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-08,2627725,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-09,2654338,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-10,2663221,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-11,2736107,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-12,2812486,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-13,2894770,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-14,2978265,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-15,3056797,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-16,3089184,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-17,3100137,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-18,3183324,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-19,3278854,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-20,3371728,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-21,3472874,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-22,3562495,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-23,3599964,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-24,3613053,416293,3196760,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-25,3690622,419237,3271385,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-26,3795280,472882,3322398,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-27,3906668,481681,3424987,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-28,4031539,491319,3540220,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-29,4153149,496024,3657125,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-30,4212899,497821,3715078,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-31,4243600,499237,3744363,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-01,4362739,502968,3859771,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-02,4501444,540631,3960813,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-03,4642703,548892,4093811,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-04,4786362,557475,4228887,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-05,4927607,564816,4362791,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-06,5016352,568490,4447862,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-07,5076413,575984,4500429,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-08,5203977,635116,4568861,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-09,5344862,649574,4695288,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-10,5487670,656482,4831188,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-11,5641008,668997,4972011,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-12,5773924,683397,5090527,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-13,5834746,693242,5141504,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-14,5867299,694872,5172427,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-15,5931245,698892,5232353,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-16,6083320,778333,5304987,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-17,6219330,800566,5418764,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-18,6360666,821007,5539659,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-22,6719384,1087344,5632040,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-23,6860276,1114401,5745875,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-24,6999198,1130791,5868407,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-25,7137632,1169716,5967916,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-29,7500700,1477360,6023340,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-06-30,7645585,1501475,6144110,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-02,7970153,1726273,6243880,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-03,8121649,1808266,6313383,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-04,8201367,1855746,6345621,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-05,8255473,1877621,6377852,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-06,8402191,1944225,6457966,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-07,8567666,2023935,6543731,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-08,8706799,2099475,6607324,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-09,8871572,2180544,6691028,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-10,9014072,2254598,6759474,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-11,9097969,2303847,6794122,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-12,9149817,2325721,6824096,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-13,9304026,2400772,6903254,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-14,9469145,2488649,6980496,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-15,9631807,2578512,7053295,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-16,9806809,2669945,7136864,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-17,9970746,2753511,7217235,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-18,10067446,2801868,7265578,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-19,10125533,2828259,7297274,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-20,10295444,2906803,7388641,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-21,10470033,2994696,7475337,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-22,10654563,3090133,7564430,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-23,10850993,3183426,7667567,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-24,11032835,3271964,7760871,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-25,11140511,3327213,7813298,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-26,11211447,3359005,7852442,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-27,11396784,3445022,7951762,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-28,11593766,3545062,8048704,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-29,11795236,3624882,8170354,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-30,12005978,3729786,8276192,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-07-31,12206684,3832934,8373750,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-01,12317727,3893539,8424188,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-02,12393893,3930960,8462933,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-03,12594451,4027658,8566793,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-04,12808398,4139162,8669236,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-05,13030257,4254352,8775905,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-06,13270296,4372546,8897750,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-07,13496355,4489605,9006750,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-08,13636580,4573793,9062787,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-09,13723146,4614203,9108943,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-10,13958045,4722807,9235238,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-11,14214009,4852972,9361037,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-12,14476323,4983184,9493139,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-13,14747221,5117483,9629738,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-14,15012023,5253934,9758089,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-15,15175199,5330589,9844610,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-08-16,15338926,5367178,9971748,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
