location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url,total_boosters
Cote d'Ivoire,2021-04-27,Oxford/AstraZeneca,125958,125958,,https://www.facebook.com/mshpcmu/posts/1888539487978403,
Cote d'Ivoire,2021-04-28,Oxford/AstraZeneca,132434,132434,,https://www.facebook.com/mshpcmu/posts/1889322164566802,
Cote d'Ivoire,2021-04-29,Oxford/AstraZeneca,140270,140270,,https://www.facebook.com/mshpcmu/posts/1890084301157255,
Cote d'Ivoire,2021-04-30,Oxford/AstraZeneca,149037,149037,,https://www.facebook.com/mshpcmu/posts/1890877344411284,
Cote d'Ivoire,2021-05-01,Oxford/AstraZeneca,158981,158981,,https://www.facebook.com/mshpcmu/posts/1891632937669058,
Cote d'Ivoire,2021-05-02,Oxford/AstraZeneca,163176,163176,,https://www.facebook.com/mshpcmu/posts/1892402124258806,
Cote d'Ivoire,2021-05-03,Oxford/AstraZeneca,168419,168419,,https://www.facebook.com/mshpcmu/posts/1893579394141079,
Cote d'Ivoire,2021-05-04,Oxford/AstraZeneca,183301,183301,,https://www.facebook.com/mshpcmu/posts/1893929784106040,
Cote d'Ivoire,2021-05-05,Oxford/AstraZeneca,197492,197492,,https://www.facebook.com/mshpcmu/posts/1894861117346240,
Cote d'Ivoire,2021-05-06,Oxford/AstraZeneca,215010,215010,,https://www.facebook.com/mshpcmu/posts/1895533880612297,
Cote d'Ivoire,2021-05-07,Oxford/AstraZeneca,235747,235747,,https://www.facebook.com/mshpcmu/posts/1896312533867765,
Cote d'Ivoire,2021-05-08,Oxford/AstraZeneca,252317,252317,,https://www.facebook.com/mshpcmu/posts/1897101563788862,
Cote d'Ivoire,2021-05-09,Oxford/AstraZeneca,262639,262639,,https://www.facebook.com/mshpcmu/posts/1897980657034286,
Cote d'Ivoire,2021-05-10,Oxford/AstraZeneca,267032,267032,,https://www.facebook.com/mshpcmu/posts/1898660066966345,
Cote d'Ivoire,2021-05-11,Oxford/AstraZeneca,280799,280799,,https://www.facebook.com/mshpcmu/posts/1899429700222715,
Cote d'Ivoire,2021-05-12,Oxford/AstraZeneca,292537,292537,,https://www.facebook.com/mshpcmu/posts/1900322076800144,
Cote d'Ivoire,2021-05-13,Oxford/AstraZeneca,295309,295309,,https://www.facebook.com/mshpcmu/posts/1901135440052141,
Cote d'Ivoire,2021-05-14,Oxford/AstraZeneca,301497,301497,,https://www.facebook.com/mshpcmu/posts/1901912456641106,
Cote d'Ivoire,2021-05-15,Oxford/AstraZeneca,321020,321020,,https://www.facebook.com/mshpcmu/posts/1902632499902435,
Cote d'Ivoire,2021-05-16,Oxford/AstraZeneca,333793,333793,,https://www.facebook.com/mshpcmu/posts/1903472843151734,
Cote d'Ivoire,2021-05-17,Oxford/AstraZeneca,340049,340049,,https://www.facebook.com/mshpcmu/posts/1904368319728853,
Cote d'Ivoire,2021-05-18,Oxford/AstraZeneca,366285,366285,,https://www.facebook.com/mshpcmu/posts/1905588016273550,
Cote d'Ivoire,2021-05-19,Oxford/AstraZeneca,391085,391085,,https://www.facebook.com/mshpcmu/posts/1906497556182596,
Cote d'Ivoire,2021-05-20,Oxford/AstraZeneca,418455,418455,,https://www.facebook.com/mshpcmu/posts/1907336076098744,
Cote d'Ivoire,2021-05-21,Oxford/AstraZeneca,447449,447449,,https://www.facebook.com/mshpcmu/posts/1908167929348892,
Cote d'Ivoire,2021-05-22,Oxford/AstraZeneca,473098,473098,,https://www.facebook.com/mshpcmu/posts/1909010575931294,
Cote d'Ivoire,2021-05-23,Oxford/AstraZeneca,486231,486231,,https://www.facebook.com/mshpcmu/posts/1909804992518519,
Cote d'Ivoire,2021-05-24,Oxford/AstraZeneca,491146,491146,,https://www.facebook.com/mshpcmu/posts/1910591959106489,
Cote d'Ivoire,2021-05-25,Oxford/AstraZeneca,496319,496319,,https://www.facebook.com/mshpcmu/posts/1911359415696410,
Cote d'Ivoire,2021-05-27,Oxford/AstraZeneca,528084,528084,,https://www.facebook.com/mshpcmu/posts/1912939115538440,
Cote d'Ivoire,2021-05-28,Oxford/AstraZeneca,535748,535748,,https://www.facebook.com/mshpcmu/posts/1913894008776284,
Cote d'Ivoire,2021-05-29,Oxford/AstraZeneca,540245,540245,,https://www.facebook.com/mshpcmu/posts/1914663215366030,
Cote d'Ivoire,2021-05-31,Oxford/AstraZeneca,541449,541449,,https://www.facebook.com/mshpcmu/posts/1916705261828492,
Cote d'Ivoire,2021-06-01,Oxford/AstraZeneca,543663,543663,,https://www.facebook.com/mshpcmu/posts/1917008368464848,
Cote d'Ivoire,2021-06-02,Oxford/AstraZeneca,555472,555472,,https://www.facebook.com/mshpcmu/posts/1917735725058779,
Cote d'Ivoire,2021-06-03,Oxford/AstraZeneca,567488,567488,,https://www.facebook.com/mshpcmu/posts/1918534804978871,
Cote d'Ivoire,2021-06-05,Oxford/AstraZeneca,593683,593683,,https://www.facebook.com/mshpcmu/posts/1920162881482730,
Cote d'Ivoire,2021-06-06,Oxford/AstraZeneca,602540,602540,,https://www.facebook.com/mshpcmu/posts/1920966051402413,
Cote d'Ivoire,2021-06-07,Oxford/AstraZeneca,606907,606907,,https://www.facebook.com/mshpcmu/posts/1921877514644600,
Cote d'Ivoire,2021-06-08,Oxford/AstraZeneca,625780,625780,,https://www.facebook.com/mshpcmu/posts/1922680157897669,
Cote d'Ivoire,2021-06-09,Oxford/AstraZeneca,644253,644253,,https://www.facebook.com/mshpcmu/posts/1923507837814901,
Cote d'Ivoire,2021-06-10,Oxford/AstraZeneca,662848,662848,,https://www.facebook.com/mshpcmu/posts/1924245974407754,
Cote d'Ivoire,2021-06-11,Oxford/AstraZeneca,675294,675294,,https://www.facebook.com/mshpcmu/posts/1925024047663280,
Cote d'Ivoire,2021-06-12,Oxford/AstraZeneca,686626,686626,,https://www.facebook.com/mshpcmu/posts/1926015224230829,
Cote d'Ivoire,2021-06-13,Oxford/AstraZeneca,692523,692523,,https://www.facebook.com/mshpcmu/posts/1926736014158750,
Cote d'Ivoire,2021-06-14,Oxford/AstraZeneca,694950,694950,,https://www.facebook.com/mshpcmu/posts/1927456237420061,
Cote d'Ivoire,2021-06-15,Oxford/AstraZeneca,705051,705051,,https://www.facebook.com/mshpcmu/posts/1928238917341793,
Cote d'Ivoire,2021-06-16,Oxford/AstraZeneca,712777,712777,,https://www.facebook.com/mshpcmu/posts/1929029473929404,
Cote d'Ivoire,2021-06-17,Oxford/AstraZeneca,718197,718197,,https://www.facebook.com/mshpcmu/posts/1929830203849331,
Cote d'Ivoire,2021-06-18,Oxford/AstraZeneca,722073,722073,,https://www.facebook.com/mshpcmu/posts/1930556000443418,
Cote d'Ivoire,2021-06-19,Oxford/AstraZeneca,724592,724592,,https://www.facebook.com/mshpcmu/posts/1931520937013591,
Cote d'Ivoire,2021-06-20,Oxford/AstraZeneca,725916,725916,,https://www.facebook.com/mshpcmu/posts/1932855310213487,
Cote d'Ivoire,2021-06-21,Oxford/AstraZeneca,733375,733375,,https://www.facebook.com/mshpcmu/posts/1933155210183497,
Cote d'Ivoire,2021-06-22,Oxford/AstraZeneca,735677,735677,,https://www.facebook.com/mshpcmu/posts/1933948290104189,
Cote d'Ivoire,2021-06-23,Oxford/AstraZeneca,737314,737314,,https://www.facebook.com/mshpcmu/photos/a.270240923141609/1934778833354468/,
Cote d'Ivoire,2021-06-24,Oxford/AstraZeneca,738763,738763,,https://www.facebook.com/mshpcmu/posts/1935620579936960,
Cote d'Ivoire,2021-06-25,Oxford/AstraZeneca,740391,740391,,https://www.facebook.com/mshpcmu/posts/1936376139861404,
Cote d'Ivoire,2021-06-28,Oxford/AstraZeneca,745327,745327,,https://www.facebook.com/mshpcmu/posts/1938752936290391,
Cote d'Ivoire,2021-06-29,Oxford/AstraZeneca,749368,749368,,https://www.facebook.com/mshpcmu/posts/1939631029535915,
Cote d'Ivoire,2021-06-30,Oxford/AstraZeneca,757113,757113,,https://www.facebook.com/mshpcmu/posts/1940396256126059,
Cote d'Ivoire,2021-07-01,Oxford/AstraZeneca,768039,768039,,https://www.facebook.com/mshpcmu/posts/1941242749374743,
Cote d'Ivoire,2021-07-02,Oxford/AstraZeneca,780623,780623,,https://www.facebook.com/mshpcmu/posts/1941967405968944,
Cote d'Ivoire,2021-07-03,Oxford/AstraZeneca,791306,791306,,https://www.facebook.com/mshpcmu/posts/1942808659218152,
Cote d'Ivoire,2021-07-04,Oxford/AstraZeneca,797907,797907,,https://www.facebook.com/mshpcmu/posts/1943623609136657,
Cote d'Ivoire,2021-07-05,Oxford/AstraZeneca,801089,801089,,https://www.facebook.com/mshpcmu/posts/1944338242398527,
Cote d'Ivoire,2021-07-06,Oxford/AstraZeneca,814945,814945,,https://www.facebook.com/mshpcmu/posts/1945142875651397,
Cote d'Ivoire,2021-07-07,Oxford/AstraZeneca,825286,825286,,https://www.facebook.com/mshpcmu/posts/1945958315569853,
Cote d'Ivoire,2021-07-08,Oxford/AstraZeneca,835163,835163,,https://www.facebook.com/mshpcmu/posts/1946732208825797,
Cote d'Ivoire,2021-07-09,Oxford/AstraZeneca,850857,850857,,https://www.facebook.com/mshpcmu/posts/1947500415415643,
Cote d'Ivoire,2021-07-12,Oxford/AstraZeneca,857406,857406,,https://www.facebook.com/mshpcmu/photos/a.270240923141609/1949882228510795/,
Cote d'Ivoire,2021-07-13,Oxford/AstraZeneca,861278,861278,,https://www.facebook.com/mshpcmu/photos/a.270240923141609/1950691868429831,
Cote d'Ivoire,2021-07-14,Oxford/AstraZeneca,866611,866611,,https://www.facebook.com/mshpcmu/photos/a.270240923141609/1951413238357694/,
Cote d'Ivoire,2021-07-15,Oxford/AstraZeneca,874736,874736,,https://www.facebook.com/mshpcmu/photos/a.270240923141609/1952293134936371/,
Cote d'Ivoire,2021-07-16,Oxford/AstraZeneca,883862,883862,,https://www.facebook.com/mshpcmu/posts/1953063368192681,
Cote d'Ivoire,2021-07-17,Oxford/AstraZeneca,891966,891966,,https://www.facebook.com/mshpcmu/posts/1953801361452215,
Cote d'Ivoire,2021-07-18,Oxford/AstraZeneca,896350,896350,,https://www.facebook.com/mshpcmu/posts/1954588411373510,
Cote d'Ivoire,2021-07-19,Oxford/AstraZeneca,898247,898247,,https://www.facebook.com/mshpcmu/posts/1955300001302351,
Cote d'Ivoire,2021-07-20,Oxford/AstraZeneca,905475,905475,,https://www.facebook.com/mshpcmu/posts/1956032144562470,
Cote d'Ivoire,2021-07-21,Oxford/AstraZeneca,906089,906089,,https://www.facebook.com/mshpcmu/posts/1957248234440861,
Cote d'Ivoire,2021-07-23,Oxford/AstraZeneca,918433,918433,,https://www.facebook.com/mshpcmu/posts/1958354040996947,
Cote d'Ivoire,2021-07-24,Oxford/AstraZeneca,925083,925083,,https://www.facebook.com/mshpcmu/posts/1959149454250739,
Cote d'Ivoire,2021-07-25,Oxford/AstraZeneca,933816,933816,,https://www.facebook.com/mshpcmu/posts/1959941594171525,
Cote d'Ivoire,2021-07-26,Oxford/AstraZeneca,935111,935111,,https://www.facebook.com/mshpcmu/posts/1960690017430016,
Cote d'Ivoire,2021-07-27,Oxford/AstraZeneca,943437,943437,,https://www.facebook.com/mshpcmu/posts/1961425827356435,
Cote d'Ivoire,2021-07-28,Oxford/AstraZeneca,959349,959349,,https://www.facebook.com/mshpcmu/posts/1962309793934705,
Cote d'Ivoire,2021-07-29,Oxford/AstraZeneca,975086,975086,,https://www.facebook.com/mshpcmu/posts/1963104920521859,
Cote d'Ivoire,2021-07-30,Oxford/AstraZeneca,990305,990305,,https://www.facebook.com/mshpcmu/posts/1964012713764413,
Cote d'Ivoire,2021-07-31,Oxford/AstraZeneca,1008244,1008244,,https://www.facebook.com/mshpcmu/posts/1964741403691544,
Cote d'Ivoire,2021-08-01,Oxford/AstraZeneca,1019898,1019898,,https://www.facebook.com/mshpcmu/posts/1965619230270428,
Cote d'Ivoire,2021-08-02,Oxford/AstraZeneca,1023548,1023548,,https://www.facebook.com/mshpcmu/posts/1966387253526959,
Cote d'Ivoire,2021-08-03,Oxford/AstraZeneca,1067141,1067141,,https://www.facebook.com/mshpcmu/posts/1967181666780851,
Cote d'Ivoire,2021-08-04,Oxford/AstraZeneca,1098505,1098505,,https://www.facebook.com/mshpcmu/posts/1968042220028129,
Cote d'Ivoire,2021-08-05,Oxford/AstraZeneca,1117143,1117143,,https://www.facebook.com/mshpcmu/posts/1968802589952092,
Cote d'Ivoire,2021-08-06,Oxford/AstraZeneca,1120944,1120944,,https://www.facebook.com/mshpcmu/posts/1969572629875088,
Cote d'Ivoire,2021-08-07,Oxford/AstraZeneca,1138231,1138231,,https://www.facebook.com/mshpcmu/posts/1970488076450210,
Cote d'Ivoire,2021-08-08,Oxford/AstraZeneca,1143268,1143268,,https://www.facebook.com/mshpcmu/posts/1971374803028204,
Cote d'Ivoire,2021-08-09,Oxford/AstraZeneca,1147868,1147868,,https://www.facebook.com/mshpcmu/posts/1972094249622926,
Cote d'Ivoire,2021-08-10,Oxford/AstraZeneca,1165391,1165391,,https://www.facebook.com/mshpcmu/posts/1972972206201797,
Cote d'Ivoire,2021-08-11,Oxford/AstraZeneca,1181287,1181287,,https://www.facebook.com/mshpcmu/posts/1973743979457953,
Cote d'Ivoire,2021-08-12,Oxford/AstraZeneca,1194760,1194760,,https://www.facebook.com/mshpcmu/posts/1974492689383082,
Cote d'Ivoire,2021-08-13,Oxford/AstraZeneca,1206541,1206541,,https://www.facebook.com/mshpcmu/posts/1975261959306155,
Cote d'Ivoire,2021-08-14,Oxford/AstraZeneca,1215526,1215526,,https://www.facebook.com/mshpcmu/posts/1976052122560472,
Cote d'Ivoire,2021-08-16,Oxford/AstraZeneca,1227516,1227516,,https://www.facebook.com/mshpcmu/posts/1977523579079993,
Cote d'Ivoire,2021-08-17,Oxford/AstraZeneca,1246309,1246309,,https://www.facebook.com/mshpcmu/posts/1979050995593918,
